date,item_id,category,sales,unit_price
01-01-2023,101,Dairy,49,100
01-01-2023,102,Snacks,37,50
01-01-2023,103,Beverages,10,75
01-01-2023,104,Grains,28,120
01-01-2023,105,Produce,9,90
02-01-2023,101,Dairy,48,100
02-01-2023,102,Snacks,23,50
02-01-2023,103,Beverages,12,75
02-01-2023,104,Grains,38,120
02-01-2023,105,Produce,43,90
03-01-2023,101,Dairy,12,100
03-01-2023,102,Snacks,17,50
03-01-2023,103,Beverages,5,75
03-01-2023,104,Grains,12,120
03-01-2023,105,Produce,8,90
04-01-2023,101,Dairy,20,100
04-01-2023,102,Snacks,11,50
04-01-2023,103,Beverages,45,75
04-01-2023,104,Grains,30,120
04-01-2023,105,Produce,30,90
05-01-2023,101,Dairy,21,100
05-01-2023,102,Snacks,10,50
05-01-2023,103,Beverages,18,75
05-01-2023,104,Grains,35,120
05-01-2023,105,Produce,2,90
06-01-2023,101,Dairy,32,100
06-01-2023,102,Snacks,20,50
06-01-2023,103,Beverages,44,75
06-01-2023,104,Grains,35,120
06-01-2023,105,Produce,37,90
07-01-2023,101,Dairy,25,100
07-01-2023,102,Snacks,21,50
07-01-2023,103,Beverages,12,75
07-01-2023,104,Grains,5,120
07-01-2023,105,Produce,18,90
08-01-2023,101,Dairy,12,100
08-01-2023,102,Snacks,5,50
08-01-2023,103,Beverages,33,75
08-01-2023,104,Grains,36,120
08-01-2023,105,Produce,40,90
09-01-2023,101,Dairy,45,100
09-01-2023,102,Snacks,3,50
09-01-2023,103,Beverages,28,75
09-01-2023,104,Grains,26,120
09-01-2023,105,Produce,20,90
10-01-2023,101,Dairy,6,100
10-01-2023,102,Snacks,46,50
10-01-2023,103,Beverages,41,75
10-01-2023,104,Grains,6,120
10-01-2023,105,Produce,19,90
11-01-2023,101,Dairy,38,100
11-01-2023,102,Snacks,21,50
11-01-2023,103,Beverages,37,75
11-01-2023,104,Grains,20,120
11-01-2023,105,Produce,32,90
12-01-2023,101,Dairy,50,100
12-01-2023,102,Snacks,31,50
12-01-2023,103,Beverages,39,75
12-01-2023,104,Grains,16,120
12-01-2023,105,Produce,37,90
13-01-2023,101,Dairy,43,100
13-01-2023,102,Snacks,50,50
13-01-2023,103,Beverages,40,75
13-01-2023,104,Grains,39,120
13-01-2023,105,Produce,21,90
14-01-2023,101,Dairy,39,100
14-01-2023,102,Snacks,50,50
14-01-2023,103,Beverages,1,75
14-01-2023,104,Grains,44,120
14-01-2023,105,Produce,30,90
15-01-2023,101,Dairy,15,100
15-01-2023,102,Snacks,39,50
15-01-2023,103,Beverages,29,75
15-01-2023,104,Grains,44,120
15-01-2023,105,Produce,4,90
16-01-2023,101,Dairy,1,100
16-01-2023,102,Snacks,36,50
16-01-2023,103,Beverages,16,75
16-01-2023,104,Grains,3,120
16-01-2023,105,Produce,21,90
17-01-2023,101,Dairy,14,100
17-01-2023,102,Snacks,13,50
17-01-2023,103,Beverages,4,75
17-01-2023,104,Grains,35,120
17-01-2023,105,Produce,1,90
18-01-2023,101,Dairy,33,100
18-01-2023,102,Snacks,6,50
18-01-2023,103,Beverages,14,75
18-01-2023,104,Grains,23,120
18-01-2023,105,Produce,40,90
19-01-2023,101,Dairy,36,100
19-01-2023,102,Snacks,42,50
19-01-2023,103,Beverages,11,75
19-01-2023,104,Grains,18,120
19-01-2023,105,Produce,31,90
20-01-2023,101,Dairy,2,100
20-01-2023,102,Snacks,10,50
20-01-2023,103,Beverages,2,75
20-01-2023,104,Grains,11,120
20-01-2023,105,Produce,10,90
21-01-2023,101,Dairy,19,100
21-01-2023,102,Snacks,3,50
21-01-2023,103,Beverages,20,75
21-01-2023,104,Grains,32,120
21-01-2023,105,Produce,20,90
22-01-2023,101,Dairy,44,100
22-01-2023,102,Snacks,9,50
